code,class,subclass,subclass_i,csc_i
0,1,1,1,1
1,2,LP,2,2
2,2,LP,2,2
3,2,LP,2,2
4,2,LP,2,2
5,2,LP,2,2
6,2,LP,2,2
7,2,LP,2,2
8,1,1,1,1
9,2,LP,2,2
10,2,LP,2,2
11,2,LP,2,2
12,2,LP,2,2
13,2,LP,2,2
14,2,LP,2,2
15,2,LP,2,2
16,2,LP,2,2
17,2,LP,2,2
18,3,C,6,5
19,2,LP,2,2
20,2,LP,2,2
21,2,LP,2,2
22,3,C,6,5
23,2,LP,2,2
24,2,LP,2,2
25,2,HP,3,3
26,2,LP,2,2
27,2,LP,2,2
28,2,LP,2,2
29,2,LP,2,2
30,3,C,6,5
31,2,LP,2,2
32,1,1,1,1
33,2,LP,2,2
34,2,LP,2,2
35,2,LP,2,2
36,2,LP,2,2
37,2,LP,2,2
38,2,LP,2,2
39,2,LP,2,2
40,1,1,1,1
41,4,T,4,7
42,2,LP,2,2
43,2,LP,2,2
44,2,LP,2,2
45,3,C,6,5
46,2,LP,2,2
47,2,LP,2,2
48,2,LP,2,2
49,2,LP,2,2
50,2,LP,2,2
51,2,LP,2,2
52,2,LP,2,2
53,2,LP,2,2
54,4,T,4,7
55,2,LP,2,2
56,2,LP,2,2
57,2,LP,2,2
58,2,LP,2,2
59,2,LP,2,2
60,3,U,5,6
61,2,HP,3,3
62,2,HP,3,3
63,2,LP,2,2
64,1,1,1,1
65,2,LP,2,2
66,2,LP,2,2
67,2,HP,3,3
68,2,LP,2,2
69,2,LP,2,2
70,2,LP,2,2
71,2,LP,2,2
72,2,LP,2,2
73,2,T,4,4
74,2,LP,2,2
75,3,C,6,5
76,2,LP,2,2
77,2,LP,2,2
78,2,LP,2,2
79,2,LP,2,2
80,2,LP,2,2
81,2,LP,2,2
82,2,LP,2,2
83,2,LP,2,2
84,2,LP,2,2
85,2,LP,2,2
86,3,C,6,5
87,2,LP,2,2
88,2,LP,2,2
89,3,C,6,5
90,3,U,5,6
91,2,LP,2,2
92,2,LP,2,2
93,2,LP,2,2
94,2,LP,2,2
95,2,LP,2,2
96,1,1,1,1
97,4,T,4,7
98,2,LP,2,2
99,2,LP,2,2
100,2,LP,2,2
101,3,C,6,5
102,3,U,5,6
103,2,HP,3,3
104,2,LP,2,2
105,3,U,5,6
106,4,C,6,8
107,4,T,4,7
108,2,LP,2,2
109,2,T,4,4
110,4,T,4,7
111,2,LP,2,2
112,2,LP,2,2
113,2,LP,2,2
114,2,LP,2,2
115,2,LP,2,2
116,2,LP,2,2
117,2,LP,2,2
118,2,HP,3,3
119,2,LP,2,2
120,4,C,6,8
121,4,T,4,7
122,3,C,6,5
123,2,LP,2,2
124,4,T,4,7
125,2,LP,2,2
126,3,C,6,5
127,2,LP,2,2
128,1,1,1,1
129,3,C,6,5
130,2,LP,2,2
131,2,HP,3,3
132,2,LP,2,2
133,2,LP,2,2
134,2,LP,2,2
135,3,C,6,5
136,1,1,1,1
137,4,T,4,7
138,2,LP,2,2
139,2,LP,2,2
140,2,LP,2,2
141,2,LP,2,2
142,2,LP,2,2
143,2,LP,2,2
144,2,LP,2,2
145,2,HP,3,3
146,3,C,6,5
147,4,T,4,7
148,2,LP,2,2
149,3,C,6,5
150,3,U,5,6
151,3,C,6,5
152,2,LP,2,2
153,3,U,5,6
154,2,LP,2,2
155,2,LP,2,2
156,2,LP,2,2
157,2,LP,2,2
158,2,LP,2,2
159,2,LP,2,2
160,1,1,1,1
161,3,C,6,5
162,2,LP,2,2
163,2,LP,2,2
164,2,LP,2,2
165,3,U,5,6
166,2,LP,2,2
167,2,LP,2,2
168,1,1,1,1
169,4,C,6,8
170,2,LP,2,2
171,2,LP,2,2
172,2,LP,2,2
173,2,LP,2,2
174,2,LP,2,2
175,2,LP,2,2
176,2,LP,2,2
177,2,LP,2,2
178,2,LP,2,2
179,2,LP,2,2
180,2,LP,2,2
181,2,LP,2,2
182,3,C,6,5
183,3,C,6,5
184,2,LP,2,2
185,2,LP,2,2
186,2,LP,2,2
187,2,LP,2,2
188,2,LP,2,2
189,2,LP,2,2
190,2,LP,2,2
191,2,LP,2,2
192,1,1,1,1
193,4,T,4,7
194,2,LP,2,2
195,3,U,5,6
196,2,LP,2,2
197,2,LP,2,2
198,2,LP,2,2
199,2,LP,2,2
200,2,LP,2,2
201,2,LP,2,2
202,2,LP,2,2
203,2,LP,2,2
204,2,LP,2,2
205,2,LP,2,2
206,2,LP,2,2
207,2,LP,2,2
208,2,LP,2,2
209,2,LP,2,2
210,2,LP,2,2
211,2,LP,2,2
212,2,LP,2,2
213,2,LP,2,2
213,2,LP,2,2
214,2,LP,2,2
215,2,LP,2,2
216,2,LP,2,2
217,2,LP,2,2
218,2,LP,2,2
220,2,LP,2,2
221,2,LP,2,2
222,2,LP,2,2
223,2,LP,2,2
224,1,1,1,1
224,2,LP,2,2
225,4,C,6,8
226,2,LP,2,2
227,2,LP,2,2
228,2,LP,2,2
229,2,LP,2,2
230,2,LP,2,2
231,2,LP,2,2
232,2,LP,2,2
233,2,LP,2,2
234,1,1,1,1
235,1,1,1,1
236,2,LP,2,2
237,2,LP,2,2
238,1,1,1,1
239,1,1,1,1
240,2,LP,2,2
241,2,LP,2,2
242,2,LP,2,2
243,2,LP,2,2
245,2,LP,2,2
246,2,LP,2,2
247,2,LP,2,2
248,1,1,1,1
249,1,1,1,1
250,1,1,1,1
251,1,1,1,1
252,1,1,1,1
253,1,1,1,1
254,1,1,1,1
255,1,1,1,1
